id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ARRDC3	6	2.2838e-08	2.4189e-07	0.002475	1	5	-1.2202	0.80514	0.80507	1.0	15883	0	-1.2202
GSK3B	6	4.6695e-08	2.4189e-07	0.002475	2	6	-1.0387	0.99606	0.99611	1.0	20217	0	-1.0387
LOC100289561	6	1.3575e-07	2.177e-06	0.011139	3	5	-1.0588	0.9412	0.94127	1.0	18738	0	-1.0588
TAOK1	6	1.6096e-07	2.177e-06	0.011139	4	4	-1.4516	0.58117	0.58122	1.0	11402	0	-1.4516
TMA7	6	2.5683e-07	3.1446e-06	0.012871	5	6	-0.808	1.0	1.0	1.0	20466	0	-0.808
hsa-mir-6727	4	2.212e-06	8.4661e-06	0.028878	6	4	-1.3086	1.0	1.0	1.0	20465	0	-1.3086
ERH	6	2.2557e-06	1.669e-05	0.042698	7	6	-1.0301	1.0	1.0	1.0	20464	0	-1.0301
hsa-mir-483	4	3.5655e-06	1.282e-05	0.037482	8	4	-0.31361	1.0	1.0	1.0	20463	0	-0.31361
MRPL40	6	4.7843e-06	3.459e-05	0.062129	9	6	-0.76358	1.0	1.0	1.0	20462	0	-0.76358
PDE4DIP	6	6.8625e-06	4.9587e-05	0.062129	10	6	-1.0739	0.99853	0.99852	1.0	20333	0	-1.0739
ST13	6	7.0423e-06	5.0555e-05	0.062129	11	6	-0.51948	0.99965	0.99965	1.0	20412	0	-0.51948
RPL22	6	8.1954e-06	5.7811e-05	0.062129	12	5	-1.4046	0.90196	0.90204	1.0	17881	0	-1.4046
NPAT	6	8.3382e-06	5.7811e-05	0.062129	13	5	-1.4318	0.82301	0.82295	1.0	16241	0	-1.4318
hsa-mir-6810	4	8.6938e-06	3.2655e-05	0.062129	14	4	-1.7919	0.99999	0.99999	1.0	20461	0	-1.7919
hsa-mir-5096	4	8.9074e-06	3.3381e-05	0.062129	15	4	-0.37501	0.99999	0.99999	1.0	20460	0	-0.37501
CDIPT	6	9.0572e-06	6.0714e-05	0.062129	16	6	-0.78835	0.99872	0.9987	1.0	20343	0	-0.78835
hsa-mir-3929	4	1.2273e-05	4.9103e-05	0.062129	17	4	-0.1616	0.99999	0.99998	1.0	20459	0	-0.1616
hsa-mir-8086	4	1.2561e-05	5.0071e-05	0.062129	18	4	-0.098693	0.99999	0.99998	1.0	20458	0	-0.098693
hsa-mir-1285-1	4	1.3905e-05	5.4909e-05	0.062129	19	4	-1.6051	0.99999	0.99998	1.0	20457	0	-1.6051
hsa-mir-6779	4	1.4875e-05	5.6844e-05	0.062129	20	4	-1.407	0.99999	0.99998	1.0	20456	0	-1.407
