id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
hsa-mir-3929	4	5.7525e-10	2.4189e-07	0.000495	1	4	-2.4157	1.0	1.0	1.0	20466	0	-2.4157
hsa-mir-8086	4	5.3763e-09	2.4189e-07	0.000495	2	4	-2.5049	1.0	1.0	1.0	20465	0	-2.5049
TMA7	6	1.0597e-08	2.4189e-07	0.000495	3	6	-1.8991	1.0	1.0	1.0	20464	0	-1.8991
C15orf41	6	1.2034e-08	2.4189e-07	0.000495	4	6	-2.1844	1.0	1.0	1.0	20463	0	-2.1844
RPL13A	6	1.2928e-08	2.4189e-07	0.000495	5	6	-2.3923	1.0	1.0	1.0	20462	0	-2.3923
hsa-mir-5096	4	2.7528e-08	2.4189e-07	0.000495	6	4	-2.0772	1.0	1.0	1.0	20461	0	-2.0772
MRPS21	6	3.9833e-08	2.4189e-07	0.000495	7	6	-2.2818	1.0	1.0	1.0	20459	0	-2.2818
RAD9A	6	4.0676e-08	2.4189e-07	0.000495	8	6	-2.1494	1.0	1.0	1.0	20460	0	-2.1494
PDCD2	6	6.7451e-08	7.2567e-07	0.001238	9	6	-1.9889	0.99999	0.99999	1.0	20409	0	-1.9889
hsa-mir-483	4	6.9658e-08	2.4189e-07	0.000495	10	4	-1.8558	1.0	1.0	1.0	20458	0	-1.8558
PCNA	6	7.0717e-08	7.2567e-07	0.001238	11	6	-2.3941	0.99991	0.99992	1.0	20314	0	-2.3941
RPL21	6	8.8844e-08	1.2094e-06	0.00165	12	6	-1.7098	1.0	1.0	1.0	20457	0	-1.7098
MSTO1	6	9.0212e-08	1.2094e-06	0.00165	13	6	-2.4706	0.99995	0.99995	1.0	20339	0	-2.4706
SNRPG	6	9.7926e-08	1.2094e-06	0.00165	14	6	-2.592	0.99612	0.99616	1.0	19810	0	-2.592
hsa-mir-566	4	1.0778e-07	2.4189e-07	0.000495	15	4	-2.1387	1.0	1.0	1.0	20455	0	-2.1387
C14orf80	6	1.3288e-07	2.177e-06	0.002275	16	6	-1.983	1.0	1.0	1.0	20456	0	-1.983
HSD17B10	6	1.3811e-07	2.177e-06	0.002275	17	6	-2.7098	1.0	1.0	1.0	20442	0	-2.7098
LOC100289561	6	1.7515e-07	2.6608e-06	0.002275	18	5	-2.147	0.79518	0.79523	1.0	15155	0	-2.147
RPL18A	6	1.8769e-07	2.6608e-06	0.002275	19	6	-2.1371	1.0	1.0	1.0	20454	0	-2.1371
GTF3C4	6	1.9509e-07	2.6608e-06	0.002275	20	6	-2.53	1.0	1.0	1.0	20453	0	-2.53
MRPL53	6	2.0279e-07	3.1446e-06	0.002275	21	5	-2.3736	0.76293	0.76293	1.0	14511	0	-2.3736
PSMB3	6	2.1833e-07	3.1446e-06	0.002275	22	6	-2.6625	1.0	1.0	1.0	20452	0	-2.6625
DHX15	6	2.2697e-07	3.1446e-06	0.002275	23	6	-1.9944	1.0	1.0	1.0	20435	0	-1.9944
RPS9	6	2.2777e-07	3.1446e-06	0.002275	24	6	-2.091	1.0	1.0	1.0	20451	0	-2.091
RPLP0	6	2.3958e-07	3.1446e-06	0.002275	25	6	-2.3807	0.98963	0.98972	1.0	19511	0	-2.3807
MED14	6	2.5832e-07	3.1446e-06	0.002275	26	6	-1.9353	1.0	1.0	1.0	20450	0	-1.9353
RBBP6	6	2.7324e-07	3.6283e-06	0.002275	27	5	-2.3691	0.57924	0.57923	1.0	11133	0	-2.3691
PPP1R15B	6	3.0308e-07	3.6283e-06	0.002275	28	5	-2.3693	0.21656	0.28158	1.0	5532	1	-2.3693
SPC24	6	3.2165e-07	3.6283e-06	0.002275	29	6	-2.0487	1.0	1.0	1.0	20449	0	-2.0487
