id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
WASH1	6	3.8657e-10	2.4189e-07	0.000165	1	6	-2.4088	1.0	1.0	1.0	20456	0	-2.4088
hsa-mir-566	4	4.1728e-10	2.4189e-07	0.000165	2	4	-1.9641	1.0	1.0	1.0	20466	0	-1.9641
hsa-mir-3929	4	4.4655e-10	2.4189e-07	0.000165	3	4	-2.2744	1.0	1.0	1.0	20465	0	-2.2744
RPL11	6	5.9828e-10	2.4189e-07	0.000165	4	6	-1.8771	1.0	1.0	1.0	20464	0	-1.8771
MRPS21	6	1.1353e-09	2.4189e-07	0.000165	5	6	-1.7681	1.0	1.0	1.0	20463	0	-1.7681
GAPDH	6	2.2558e-09	2.4189e-07	0.000165	6	5	-2.5065	0.99977	0.99976	1.0	20215	0	-2.5065
RPL34	6	2.4963e-09	2.4189e-07	0.000165	7	6	-1.9571	1.0	1.0	1.0	20462	0	-1.9571
CCNA2	6	2.7622e-09	2.4189e-07	0.000165	8	6	-1.6278	1.0	1.0	1.0	20461	0	-1.6278
TRMT112	6	2.7812e-09	2.4189e-07	0.000165	9	6	-1.5559	1.0	1.0	1.0	20460	0	-1.5559
RPS15A	6	3.6478e-09	2.4189e-07	0.000165	10	6	-1.7042	1.0	1.0	1.0	20459	0	-1.7042
RPL3	6	4.4277e-09	2.4189e-07	0.000165	11	6	-1.9961	1.0	1.0	1.0	20458	0	-1.9961
FAM96B	6	6.0051e-09	2.4189e-07	0.000165	12	6	-1.974	0.99994	0.99994	1.0	20283	0	-1.974
ATP6V0C	6	7.593e-09	2.4189e-07	0.000165	13	6	-1.6605	1.0	1.0	1.0	20457	0	-1.6605
RPL13	6	1.0612e-08	2.4189e-07	0.000165	14	6	-1.8324	1.0	1.0	1.0	20427	0	-1.8324
PCNA	6	1.3265e-08	2.4189e-07	0.000165	15	6	-1.8734	1.0	1.0	1.0	20419	0	-1.8734
PELO	6	1.7927e-08	2.4189e-07	0.000165	16	6	-1.5684	1.0	1.0	1.0	20455	0	-1.5684
RPL24	6	2.2278e-08	2.4189e-07	0.000165	17	5	-1.4233	0.46763	0.4674	1.0	9147	0	-1.4233
RFC5	6	2.294e-08	2.4189e-07	0.000165	18	6	-1.6177	1.0	1.0	1.0	20454	0	-1.6177
PTPMT1	6	2.5987e-08	2.4189e-07	0.000165	19	6	-2.4391	1.0	1.0	1.0	20387	0	-2.4391
HSD17B10	6	2.7077e-08	2.4189e-07	0.000165	20	6	-2.0242	1.0	1.0	1.0	20453	0	-2.0242
hsa-mir-1299	4	2.7308e-08	2.4189e-07	0.000165	21	4	-2.2083	1.0	1.0	1.0	20452	0	-2.2083
NOP16	6	2.8137e-08	2.4189e-07	0.000165	22	6	-1.4713	1.0	1.0	1.0	20451	0	-1.4713
hsa-mir-3135b	4	2.8194e-08	2.4189e-07	0.000165	23	4	-2.4011	1.0	1.0	1.0	20450	0	-2.4011
hsa-mir-8086	4	3.0144e-08	2.4189e-07	0.000165	24	4	-2.2201	1.0	1.0	1.0	20439	0	-2.2201
RPL13A	6	3.0615e-08	2.4189e-07	0.000165	25	6	-1.6911	1.0	1.0	1.0	20449	0	-1.6911
GTF3C4	6	3.1012e-08	2.4189e-07	0.000165	26	6	-1.5875	1.0	1.0	1.0	20448	0	-1.5875
RPL21	6	3.7892e-08	2.4189e-07	0.000165	27	6	-1.3839	1.0	1.0	1.0	20409	0	-1.3839
ANAPC4	6	5.1414e-08	2.4189e-07	0.000165	28	6	-1.6032	1.0	1.0	1.0	20447	0	-1.6032
SMU1	6	5.3483e-08	2.4189e-07	0.000165	29	5	-2.1162	0.99958	0.99958	1.0	20170	0	-2.1162
hsa-mir-8078	4	5.4698e-08	2.4189e-07	0.000165	30	4	-2.1202	1.0	1.0	1.0	20446	0	-2.1202
NIP7	6	5.6333e-08	4.8378e-07	0.000319	31	6	-1.5374	1.0	1.0	1.0	20445	0	-1.5374
YBX1	6	5.9008e-08	7.2567e-07	0.000424	32	6	-1.2952	1.0	1.0	1.0	20444	0	-1.2952
SARS2	6	6.7081e-08	7.2567e-07	0.000424	33	6	-1.4101	1.0	1.0	1.0	20443	0	-1.4101
METTL1	6	7.1099e-08	7.2567e-07	0.000424	34	5	-1.7414	0.99526	0.99531	1.0	19847	0	-1.7414
TOMM20	6	7.6476e-08	7.2567e-07	0.000424	35	6	-1.0025	1.0	1.0	1.0	20442	0	-1.0025
RPS24	6	8.2117e-08	1.2094e-06	0.000619	36	6	-1.8766	1.0	1.0	1.0	20384	0	-1.8766
NDUFB10	6	8.7685e-08	1.2094e-06	0.000619	37	6	-1.2799	1.0	1.0	1.0	20441	0	-1.2799
MRPL3	6	8.8365e-08	1.2094e-06	0.000619	38	6	-1.6194	1.0	1.0	1.0	20440	0	-1.6194
WDR74	6	9.3066e-08	1.2094e-06	0.000619	39	6	-1.7239	0.99998	0.99999	1.0	20334	0	-1.7239
HEATR1	6	1.0424e-07	1.6932e-06	0.00077	40	6	-1.3187	1.0	1.0	1.0	20438	0	-1.3187
PPP4C	6	1.1082e-07	1.6932e-06	0.00077	41	6	-1.8853	1.0	1.0	1.0	20437	0	-1.8853
PDCD2	6	1.2664e-07	1.9351e-06	0.000861	42	6	-1.4137	1.0	1.0	1.0	20411	0	-1.4137
RPL6	6	1.395e-07	2.177e-06	0.000909	43	5	-1.6715	0.70947	0.70952	1.0	13737	0	-1.6715
PGP	6	1.4562e-07	2.177e-06	0.000909	44	6	-1.3147	1.0	1.0	1.0	20436	0	-1.3147
EIF6	6	1.4954e-07	2.177e-06	0.000909	45	6	-1.7281	1.0	1.0	1.0	20415	0	-1.7281
NSMCE1	6	1.7144e-07	2.6608e-06	0.001047	46	6	-1.4507	1.0	1.0	1.0	20435	0	-1.4507
RPL32	6	1.8219e-07	2.6608e-06	0.001047	47	5	-1.8714	0.9592	0.95915	1.0	18784	0	-1.8714
RPLP0	6	1.9124e-07	2.6608e-06	0.001047	48	5	-1.8106	0.99946	0.99946	1.0	20145	0	-1.8106
hsa-mir-1273a	4	2.1674e-07	1.2094e-06	0.000619	49	4	-2.1697	1.0	1.0	1.0	20434	0	-2.1697
MCM7	6	2.2434e-07	3.1446e-06	0.001061	50	6	-1.3027	1.0	1.0	1.0	20433	0	-1.3027
SART3	6	2.2627e-07	3.1446e-06	0.001061	51	6	-1.4636	1.0	1.0	1.0	20432	0	-1.4636
SLC25A26	6	2.3895e-07	3.1446e-06	0.001061	52	6	-1.372	1.0	1.0	1.0	20431	0	-1.372
EIF1AX	6	2.402e-07	3.1446e-06	0.001061	53	5	-1.6822	0.98805	0.98812	1.0	19568	0	-1.6822
MED14	6	2.4193e-07	3.1446e-06	0.001061	54	6	-1.1373	1.0	1.0	1.0	20430	0	-1.1373
KDSR	6	2.5882e-07	3.1446e-06	0.001061	55	6	-1.4439	1.0	1.0	1.0	20429	0	-1.4439
RPP38	6	2.7282e-07	3.6283e-06	0.001061	56	6	-1.3361	1.0	1.0	1.0	20428	0	-1.3361
IMP4	6	2.9539e-07	3.6283e-06	0.001061	57	5	-1.6483	0.97831	0.97845	1.0	19256	0	-1.6483
CRKL	6	3.0234e-07	3.6283e-06	0.001061	58	6	-1.0768	1.0	1.0	1.0	20426	0	-1.0768
COQ4	6	3.0389e-07	3.6283e-06	0.001061	59	4	-1.4573	0.89412	0.89425	1.0	17374	0	-1.4573
MYC	6	3.1353e-07	3.6283e-06	0.001061	60	4	-2.212	0.98301	0.98317	1.0	19391	0	-2.212
RPL28	6	3.2713e-07	3.6283e-06	0.001061	61	6	-1.7823	0.99998	0.99998	1.0	20325	0	-1.7823
HNRNPK	6	3.3117e-07	3.6283e-06	0.001061	62	6	-1.2615	1.0	1.0	1.0	20425	0	-1.2615
UBE2I	6	3.3158e-07	3.6283e-06	0.001061	63	6	-1.2211	1.0	1.0	1.0	20424	0	-1.2211
RPS26	6	3.3387e-07	3.6283e-06	0.001061	64	5	-2.0327	0.99661	0.99666	1.0	19912	0	-2.0327
SLC7A6OS	6	3.5941e-07	3.6283e-06	0.001061	65	5	-1.7511	0.98613	0.98623	1.0	19501	0	-1.7511
RNPS1	6	3.6624e-07	3.6283e-06	0.001061	66	5	-1.4131	0.9988	0.99879	1.0	20063	0	-1.4131
METTL17	6	3.7323e-07	3.6283e-06	0.001061	67	6	-1.3734	1.0	1.0	1.0	20423	0	-1.3734
hsa-mir-5096	4	3.9816e-07	1.6932e-06	0.00077	68	4	-1.8789	0.99999	0.99999	1.0	20355	0	-1.8789
